time_period_start;time_period_end;time_open;time_close;price_close
2017-12-25T00:00:00.0000000Z;2018-01-01T00:00:00.0000000Z;2017-12-28T18:29:40.0000000Z;2017-12-31T21:50:10.0000000Z;0.576300000
2018-01-01T00:00:00.0000000Z;2018-01-08T00:00:00.0000000Z;2018-01-01T01:24:45.0000000Z;2018-01-04T19:22:36.0000000Z;0.951500000
2018-01-08T00:00:00.0000000Z;2018-01-15T00:00:00.0000000Z;2018-01-10T02:30:47.0000000Z;2018-01-14T23:31:51.0000000Z;0.983700000
2018-01-15T00:00:00.0000000Z;2018-01-22T00:00:00.0000000Z;2018-01-15T00:17:32.0000000Z;2018-01-21T23:48:22.0000000Z;0.894600000
2018-01-22T00:00:00.0000000Z;2018-01-29T00:00:00.0000000Z;2018-01-22T00:04:48.0000000Z;2018-01-28T23:28:10.0000000Z;0.798000000
2018-01-29T00:00:00.0000000Z;2018-02-05T00:00:00.0000000Z;2018-01-29T00:45:59.0000000Z;2018-02-04T23:53:07.0000000Z;0.435400000
2018-02-05T00:00:00.0000000Z;2018-02-12T00:00:00.0000000Z;2018-02-05T01:19:54.0000000Z;2018-02-11T23:25:03.0000000Z;0.419300000
2018-02-12T00:00:00.0000000Z;2018-02-19T00:00:00.0000000Z;2018-02-12T01:04:20.0000000Z;2018-02-18T23:07:44.0000000Z;0.703300000
2018-02-19T00:00:00.0000000Z;2018-02-26T00:00:00.0000000Z;2018-02-19T00:17:47.0000000Z;2018-02-25T22:57:33.0000000Z;0.679800000
2018-02-26T00:00:00.0000000Z;2018-03-05T00:00:00.0000000Z;2018-02-26T00:13:35.0000000Z;2018-03-04T23:19:44.0000000Z;0.590900000
2018-03-05T00:00:00.0000000Z;2018-03-12T00:00:00.0000000Z;2018-03-05T00:54:21.0000000Z;2018-03-11T23:02:49.0000000Z;0.514200000
2018-03-12T00:00:00.0000000Z;2018-03-19T00:00:00.0000000Z;2018-03-12T00:05:06.0000000Z;2018-03-18T22:35:48.0000000Z;0.391000000
2018-03-19T00:00:00.0000000Z;2018-03-26T00:00:00.0000000Z;2018-03-19T01:22:50.0000000Z;2018-03-25T22:37:04.0000000Z;0.410500000
2018-03-26T00:00:00.0000000Z;2018-04-02T00:00:00.0000000Z;2018-03-26T07:50:44.0000000Z;2018-04-01T10:42:12.0000000Z;0.277300000
2018-04-02T00:00:00.0000000Z;2018-04-09T00:00:00.0000000Z;2018-04-02T01:35:56.0000000Z;2018-04-08T23:57:46.0000000Z;0.315400000
2018-04-09T00:00:00.0000000Z;2018-04-16T00:00:00.0000000Z;2018-04-09T01:42:40.0000000Z;2018-04-15T23:54:24.0000000Z;0.420200000
2018-04-16T00:00:00.0000000Z;2018-04-23T00:00:00.0000000Z;2018-04-16T02:16:36.0000000Z;2018-04-22T23:49:00.0000000Z;0.494500000
2018-04-23T00:00:00.0000000Z;2018-04-30T00:00:00.0000000Z;2018-04-23T00:29:07.0000000Z;2018-04-29T23:16:31.0000000Z;0.527600000
2018-04-30T00:00:00.0000000Z;2018-05-07T00:00:00.0000000Z;2018-04-30T00:43:17.0000000Z;2018-05-06T21:54:43.0000000Z;0.529100000
2018-05-07T00:00:00.0000000Z;2018-05-14T00:00:00.0000000Z;2018-05-07T00:08:23.0000000Z;2018-05-13T22:30:08.0000000Z;0.502300000
2018-05-14T00:00:00.0000000Z;2018-05-21T00:00:00.0000000Z;2018-05-14T03:20:34.0000000Z;2018-05-20T23:59:06.0000000Z;0.457600000
2018-05-21T00:00:00.0000000Z;2018-05-28T00:00:00.0000000Z;2018-05-21T00:47:06.0000000Z;2018-05-27T18:51:09.0000000Z;0.342000000
2018-05-28T00:00:00.0000000Z;2018-06-04T00:00:00.0000000Z;2018-05-28T04:37:12.0000000Z;2018-06-03T20:45:33.0000000Z;0.364500000
2018-06-04T00:00:00.0000000Z;2018-06-11T00:00:00.0000000Z;2018-06-04T00:20:24.0000000Z;2018-06-10T21:29:37.0000000Z;0.238200000
2018-06-11T00:00:00.0000000Z;2018-06-18T00:00:00.0000000Z;2018-06-11T00:27:34.0000000Z;2018-06-17T23:10:47.0000000Z;0.211200000
2018-06-18T00:00:00.0000000Z;2018-06-25T00:00:00.0000000Z;2018-06-18T00:11:44.0000000Z;2018-06-24T16:46:50.0000000Z;0.178100000
2018-06-25T00:00:00.0000000Z;2018-07-02T00:00:00.0000000Z;2018-06-25T02:35:36.0000000Z;2018-07-01T19:32:45.0000000Z;0.241000000
2018-07-02T00:00:00.0000000Z;2018-07-09T00:00:00.0000000Z;2018-07-02T01:04:25.0000000Z;2018-07-08T23:58:53.0000000Z;0.245400000
2018-07-09T00:00:00.0000000Z;2018-07-16T00:00:00.0000000Z;2018-07-09T01:54:19.0000000Z;2018-07-15T22:47:02.0000000Z;0.199300000
2018-07-16T00:00:00.0000000Z;2018-07-23T00:00:00.0000000Z;2018-07-16T07:22:16.0000000Z;2018-07-22T19:52:00.0000000Z;0.205400000
2018-07-23T00:00:00.0000000Z;2018-07-30T00:00:00.0000000Z;2018-07-23T01:52:05.0000000Z;2018-07-29T23:32:50.0000000Z;0.333000000
2018-07-30T00:00:00.0000000Z;2018-08-06T00:00:00.0000000Z;2018-07-30T00:50:42.0000000Z;2018-08-05T20:53:34.0000000Z;0.253600000
2018-08-06T00:00:00.0000000Z;2018-08-13T00:00:00.0000000Z;2018-08-06T01:10:02.0000000Z;2018-08-12T23:26:15.0000000Z;0.278200000
2018-08-13T00:00:00.0000000Z;2018-08-20T00:00:00.0000000Z;2018-08-13T00:07:25.0000000Z;2018-08-19T23:53:38.0000000Z;0.297700000
2018-08-20T00:00:00.0000000Z;2018-08-27T00:00:00.0000000Z;2018-08-20T03:56:41.0000000Z;2018-08-26T18:47:02.0000000Z;0.331500000
2018-08-27T00:00:00.0000000Z;2018-09-03T00:00:00.0000000Z;2018-08-27T01:27:51.0000000Z;2018-09-02T22:35:51.0000000Z;0.301500000
2018-09-03T00:00:00.0000000Z;2018-09-10T00:00:00.0000000Z;2018-09-03T01:17:07.0000000Z;2018-09-09T13:45:27.0000000Z;0.253300000
2018-09-10T00:00:00.0000000Z;2018-09-17T00:00:00.0000000Z;2018-09-10T00:05:27.0000000Z;2018-09-16T22:26:24.0000000Z;0.316500000
2018-09-17T00:00:00.0000000Z;2018-09-24T00:00:00.0000000Z;2018-09-17T08:44:57.0000000Z;2018-09-23T22:07:10.0000000Z;0.347600000
2018-09-24T00:00:00.0000000Z;2018-10-01T00:00:00.0000000Z;2018-09-24T03:00:02.0000000Z;2018-09-30T21:07:42.0000000Z;0.319300000
2018-10-01T00:00:00.0000000Z;2018-10-08T00:00:00.0000000Z;2018-10-01T18:45:13.0000000Z;2018-10-07T21:33:27.0000000Z;0.334600000
2018-10-08T00:00:00.0000000Z;2018-10-15T00:00:00.0000000Z;2018-10-08T04:41:06.0000000Z;2018-10-14T06:49:35.0000000Z;0.320000000
2018-10-15T00:00:00.0000000Z;2018-10-22T00:00:00.0000000Z;2018-10-15T05:25:49.0000000Z;2018-10-21T18:53:53.0000000Z;0.385000000
2018-10-22T00:00:00.0000000Z;2018-10-29T00:00:00.0000000Z;2018-10-22T03:43:07.0000000Z;2018-10-28T22:51:21.0000000Z;0.438700000
2018-10-29T00:00:00.0000000Z;2018-11-05T00:00:00.0000000Z;2018-10-29T00:52:09.0000000Z;2018-11-04T21:14:38.0000000Z;0.513700000
2018-11-05T00:00:00.0000000Z;2018-11-12T00:00:00.0000000Z;2018-11-05T05:29:51.0000000Z;2018-11-11T18:44:56.0000000Z;0.513600000
2018-11-12T00:00:00.0000000Z;2018-11-19T00:00:00.0000000Z;2018-11-12T05:00:15.0000000Z;2018-11-18T23:58:03.0000000Z;0.455600000
2018-11-19T00:00:00.0000000Z;2018-11-26T00:00:00.0000000Z;2018-11-19T00:20:30.0000000Z;2018-11-25T23:31:36.0000000Z;0.264800000
2018-11-26T00:00:00.0000000Z;2018-12-03T00:00:00.0000000Z;2018-11-26T07:56:27.0000000Z;2018-12-02T22:42:52.0000000Z;0.320200000
2018-12-03T00:00:00.0000000Z;2018-12-10T00:00:00.0000000Z;2018-12-03T01:53:17.0000000Z;2018-12-09T15:52:06.0000000Z;0.238000000
2018-12-10T00:00:00.0000000Z;2018-12-17T00:00:00.0000000Z;2018-12-11T06:24:11.0000000Z;2018-12-16T23:12:47.0000000Z;0.206200000
2018-12-17T00:00:00.0000000Z;2018-12-24T00:00:00.0000000Z;2018-12-17T01:32:30.0000000Z;2018-12-23T15:06:00.0000000Z;0.300000000
2018-12-24T00:00:00.0000000Z;2018-12-31T00:00:00.0000000Z;2018-12-24T00:48:24.0000000Z;2018-12-29T23:52:48.0000000Z;0.289500000
2018-12-31T00:00:00.0000000Z;2019-01-07T00:00:00.0000000Z;2018-12-31T00:38:39.0000000Z;2019-01-06T17:30:28.0000000Z;0.388300000
2019-01-07T00:00:00.0000000Z;2019-01-14T00:00:00.0000000Z;2019-01-07T03:15:34.0000000Z;2019-01-13T23:34:24.0000000Z;0.445000000
2019-01-14T00:00:00.0000000Z;2019-01-21T00:00:00.0000000Z;2019-01-14T00:14:04.0000000Z;2019-01-20T21:28:25.0000000Z;0.474000000
2019-01-21T00:00:00.0000000Z;2019-01-28T00:00:00.0000000Z;2019-01-21T00:05:20.0000000Z;2019-01-27T23:16:56.0000000Z;0.430000000
